0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:22:13 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/reset.png HTTP/1.1" 200 7769
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:22:13 +0800] "POST /CRM/dataDic/dataDicComboList.do?dataDicName=%E6%9C%8D%E5%8A%A1%E7%B1%BB%E5%9E%8B HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:22:15 +0800] "GET /CRM/page/customerServiceAssign.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:22:15 +0800] "POST /CRM/user/customerManagerCombolist.do HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:22:16 +0800] "POST /CRM/customerService/list.do?state=%E6%96%B0%E5%88%9B%E5%BB%BA HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:22:18 +0800] "GET /CRM/page/customerServiceFeedback.jsp HTTP/1.1" 200 7329
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:22:18 +0800] "POST /CRM/customerService/list.do?state=%E5%B7%B2%E5%A4%84%E7%90%86 HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:24:58 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/validatebox_warning.png HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:25:32 +0800] "POST /CRM/saleChance/save.do HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:25:32 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:26 +0800] "GET /CRM/page/customerManage.jsp HTTP/1.1" 200 14523
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:26 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/lsdd.png HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:26 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/lxr.png HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:26 +0800] "POST /CRM/user/customerManagerComboList.do HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:26 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/jwjl.png HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:26 +0800] "POST /CRM/dataDic/dataDicComboList.do HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:26 +0800] "POST /CRM/customer/list.do HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:54 +0800] "GET /CRM/page/customerLossManage.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:54 +0800] "POST /CRM/customerLoss/list.do HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:26:59 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:27:14 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:27:19 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:27:55 +0800] "POST /CRM/saleChance/save.do?id=42 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:27:55 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:10 +0800] "POST /CRM/saleChance/save.do?id=42 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:10 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:13 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/messager_icons.png HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [11/Mar/2020:15:28:15 +0800] "POST /CRM/saleChance/delete.do HTTP/1.1" 200 29
