0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:49 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:49 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/pagination_icons.png HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:49 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:49 +0800] "POST /CRM/user/customerManagerComboList.do HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:49 +0800] "POST /CRM/user/customerManagerComboList.do HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:08:49 +0800] "POST /CRM/saleChance/list.do HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:05 +0800] "GET /CRM/page/cusdevplanManage.jsp HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:05 +0800] "POST /CRM/saleChance/list.do?state=1 HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:30 +0800] "GET /CRM/page/customerManage.jsp HTTP/1.1" 200 14523
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:30 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/jwjl.png HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:30 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/lsdd.png HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:30 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/lxr.png HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:30 +0800] "POST /CRM/user/customerManagerComboList.do HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:30 +0800] "POST /CRM/dataDic/dataDicComboList.do HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:30 +0800] "POST /CRM/customer/list.do HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:31 +0800] "GET /CRM/page/customerLossManage.jsp HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:31 +0800] "POST /CRM/customerLoss/list.do HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:33 +0800] "GET /CRM/page/customerServiceCreate.jsp HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:33 +0800] "GET /CRM/jquery-easyui-1.3.3/jquery.edatagrid.js HTTP/1.1" 200 8929
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:33 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/reset.png HTTP/1.1" 200 7769
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:33 +0800] "POST /CRM/dataDic/dataDicComboList.do?dataDicName=%E6%9C%8D%E5%8A%A1%E7%B1%BB%E5%9E%8B HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:34 +0800] "GET /CRM/page/customerServiceAssign.jsp HTTP/1.1" 200 6075
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:34 +0800] "POST /CRM/user/customerManagerCombolist.do HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:34 +0800] "POST /CRM/customerService/list.do?state=%E6%96%B0%E5%88%9B%E5%BB%BA HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:36 +0800] "GET /CRM/page/customerServiceProce.jsp HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:36 +0800] "POST /CRM/customerService/list.do?state=%E5%B7%B2%E5%88%86%E9%85%8D HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:37 +0800] "GET /CRM/page/customerServiceFeedback.jsp HTTP/1.1" 200 7329
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:37 +0800] "POST /CRM/customerService/list.do?state=%E5%B7%B2%E5%A4%84%E7%90%86 HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:40 +0800] "GET /CRM/page/customerServiceFile.jsp HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:40 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/datebox_arrow.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:40 +0800] "POST /CRM/customerService/list.do?state=%E5%B7%B2%E5%A4%84%E7%90%86 HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:43 +0800] "GET /CRM/page/dataDicManage.jsp HTTP/1.1" 200 6362
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:43 +0800] "POST /CRM/dataDic/findDataDicName.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:43 +0800] "POST /CRM/dataDic/findDataDicName.do HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:43 +0800] "POST /CRM/dataDic/list.do HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:45 +0800] "GET /CRM/page/productSearch.jsp HTTP/1.1" 200 1988
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:45 +0800] "POST /CRM/product/list.do HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:50 +0800] "GET /CRM/page/userManage.jsp HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:09:50 +0800] "POST /CRM/user/list.do HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:11:07 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/messager_icons.png HTTP/1.1" 200 6116
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:24 +0800] "GET /CRM/page/khgxfx.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:24 +0800] "POST /CRM/customer/findCustomerGx.do HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:26 +0800] "GET /CRM/page/khgcfx.jsp HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:26 +0800] "GET /CRM/highcharts4/jquery-1.8.3.min.js HTTP/1.1" 200 93639
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:26 +0800] "GET /CRM/highcharts4/js/highcharts.js HTTP/1.1" 200 161889
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:26 +0800] "POST /CRM/customer/findCustomerGc.do HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:28 +0800] "GET /CRM/page/khfwfx.jsp HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:28 +0800] "POST /CRM/customer/findCustomerFw.do HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:29 +0800] "GET /CRM/page/khlsfx.jsp HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:14:30 +0800] "POST /CRM/customerLoss/list.do?state=1 HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:17:16 +0800] "GET /CRM/page/customerServiceCreate.jsp HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:17:16 +0800] "POST /CRM/dataDic/dataDicComboList.do?dataDicName=%E6%9C%8D%E5%8A%A1%E7%B1%BB%E5%9E%8B HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:21:15 +0800] "GET /CRM/page/khlsfx.jsp HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [12/Apr/2020:20:21:15 +0800] "POST /CRM/customerLoss/list.do?state=1 HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:50:07 +0800] "GET /CRM/user/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:50:07 +0800] "GET /CRM/login.jsp HTTP/1.1" 200 4505
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "POST /CRM/user/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/main.jsp HTTP/1.1" 200 9236
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/default/images/linkbutton_bg.png HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khgxfx.png HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khlsfx.png HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwfk.png HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/fwgd.png HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/cpxxgl.png HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/yxjhgl.png HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khgcfx.png HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khkfjh.png HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [12/Apr/2020:21:53:57 +0800] "GET /CRM/jquery-easyui-1.3.3/themes/usericons/khxxgl.png HTTP/1.1" 200 812
